;Format of textures:
;TextureName	Width	Height
*	WLITA0      	0	96
*	WLITB0      	8	96
*	WLITB0      	16	96
*	WLITC0      	24	96
*	WLITA0      	0	104
*	WLITB0      	8	104
*	WLITB0      	16	104
*	WLITC0      	24	104
*	WLITA0      	0	112
*	WLITB0      	8	112
*	WLITB0      	16	112
*	WLITC0      	24	112
*	WLITA0      	0	120
*	WLITB0      	8	120
*	WLITB0      	16	120
*	WLITC0      	24	120
LITE4       		16	128
*	WLITA0      	0	0
*	WLITA0      	0	105
*	WLITA0      	0	82
*	WLITA0      	0	59
*	WLITA0      	0	38
*	WLITA0      	0	16
*	WLITA0      	0	8
LITE5       		512	111
*	SW19_1      	0	0
*	SW19_2      	192	0
*	AG128_1     	384	-12
*	AG128_1     	448	-3
LITEBLU1    		128	128
*	AGB128_1    	0	0
LITEBLU2    		64	128
*	W13_A       	0	0
LITEBLU3    		16	128
*	W13_8       	0	0
*	W13_8       	0	72
LITEBLU4    		16	128
*	BLITA0      	0	0
*	BLITB0      	8	0
*	BLITC0      	8	0
*	BLITA0      	0	8
*	BLITC0      	8	8
*	BLITA0      	0	16
*	BLITC0      	8	16
*	BLITA0      	0	24
*	BLITC0      	8	24
*	BLITA0      	0	32
*	BLITC0      	8	32
*	BLITA0      	0	40
*	BLITC0      	8	40
*	BLITA0      	0	48
*	BLITC0      	8	48
*	BLITA0      	0	56
*	BLITC0      	8	56
*	BLITA0      	0	64
*	BLITC0      	8	64
*	BLITA0      	0	72
*	BLITC0      	8	72
*	BLITA0      	0	80
*	BLITC0      	8	80
*	BLITA0      	0	88
*	BLITC0      	8	88
*	BLITA0      	0	96
*	BLITC0      	8	96
*	BLITA0      	0	104
*	BLITC0      	8	104
*	BLITA0      	0	112
*	BLITC0      	8	112
*	BLITA0      	0	120
*	BLITC0      	8	120
METAL1      		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
NUKE24      		64	24
*	NUKEDGE     	0	0
NUKEDGE1    		128	128
*	WALL04_3    	0	0
*	NUKEDGE     	0	104
NUKESLAD    		64	128
*	WALL57_1    	0	0
PIPE2       		256	128
*	TP2_1       	0	0
*	TP2_2       	128	0
PLANET1     		32	128
*	TP3_1       	0	0
PLAT1       		128	128
*	PLAT2_1     	0	0
SHAWN2      		64	128
*	AG128_1     	0	0
SKY1        		256	128
*	SKY1        	0	0
SLADPOIS    		128	128
*	WLA128_1    	0	0
*	PS20A0      	39	46
SLADRIP1    		64	128
*	WALL57_2    	0	0
SLADRIP2    		64	128
*	WALL57_3    	0	0
SLADRIP3    		64	128
*	WALL57_4    	0	0
SLADWALL    		128	128
*	WLA128_1    	0	0
STARG1      		64	128
*	SW12_1      	0	0
*	SW12_2      	0	64
STARG3      		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
STARGR1     		128	128
*	LADDER16    	0	0
STARTAN1    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
STARTAN2    		128	128
*	DOOR9_2     	0	0
STARTAN3    		512	111
*	SW19_1      	0	0
*	SW19_2      	192	0
*	AG128_1     	384	-12
*	AG128_1     	448	-15
STEP1       		32	8
*	STEP04      	0	0
STEP2       		32	8
*	STEP03      	0	0
STEP3       		32	8
*	STEP05      	0	0
STEP4       		32	16
*	STEP06      	0	0
*	STEP06      	0	8
STEP5       		32	16
*	STEP09      	0	0
*	STEP09      	0	8
STEP6       		32	8
*	STEP07      	0	0
STONE       		256	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_5    	64	0
*	WALL01_6    	80	0
*	WALL01_7    	96	0
*	WALL01_8    	112	0
*	WALL01_9    	128	0
*	WALL01_A    	144	0
*	WALL01_B    	160	0
*	WALL01_C    	176	0
*	WALL01_3    	192	0
*	WALL01_1    	208	0
*	WALL01_6    	224	0
*	WALL01_A    	240	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	WALL01_5    	64	72
*	WALL01_6    	80	72
*	WALL01_7    	96	72
*	WALL01_8    	112	72
*	WALL01_9    	128	72
*	WALL01_A    	144	72
*	WALL01_B    	160	72
*	WALL01_C    	176	72
*	WALL01_3    	192	72
*	WALL01_1    	208	72
*	WALL01_6    	224	72
*	WALL01_A    	240	72
*	W33_8       	0	64
*	W33_8       	64	64
*	W33_8       	128	64
*	W33_8       	192	64
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W33_8       	192	120
STONE2      		128	128
*	W28_8       	0	64
*	W28_8       	64	0
*	W28_5       	0	0
*	W28_5       	64	64
STONE3      		128	128
*	W28_7       	0	0
*	W28_6       	0	64
*	W28_7       	64	64
*	W28_6       	64	0
STONPOIS    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	PS20A0      	1	43
SUPPORT2    		64	128
*	SUPPORT2    	0	64
*	SUPPORT2    	0	0
SW1BRCOM    		128	128
*	WALL04_3    	0	0
*	SW1S1       	40	78
SW1BRN1     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S0       	7	76
SW1BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S1       	6	76
SW1BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S1       	7	76
SW1BROWN    		128	128
*	WALL52_2    	0	0
*	SW3S1       	18	72
SW1COMM     		64	72
*	W13_1       	0	0
*	SW1S1       	7	18
SW1COMP     		64	128
*	COMP03_4    	0	64
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	SW2S1       	7	76
SW1DIRT     		64	128
*	WALL00_7    	32	0
*	WALL00_6    	16	0
*	WALL00_6    	0	0
*	WALL00_7    	48	0
*	SW1S0       	8	20
*	W15_5       	0	72
SW1EXIT     		128	128
*	COMP1C_6    	0	0
SW1GRAY     		128	128
*	COMP01_6    	0	0
SW1GRAY1    		128	128
*	WLITA0      	0	0
SW1METAL    		64	128
*	SW19_3      	-32	0
*	SW19_4      	32	0
*	SW2_1       	12	80
SW1PIPE     		128	128
*	TP2_2       	0	0
*	SW3S0       	48	76
SW1SLAD     		128	128
*	WLA128_1    	0	0
SW1STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S1       	39	76
SW1STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S1       	7	78
SW1STON2    		64	128
*	W28_5       	0	0
*	W28_8       	0	64
SW1STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	SW1S1       	8	67
SW1STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S1       	8	72
SW2BRCOM    		128	128
*	WALL04_3    	0	0
*	SW1S0       	40	78
SW2BRN1     		64	128
*	STEP07      	32	72
*	STEP07      	0	72
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S1       	7	76
SW2BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S0       	7	76
SW2BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S0       	7	76
SW2BROWN    		128	128
*	WALL52_2    	0	0
*	SW3S0       	18	70
SW2COMM     		64	72
*	W13_1       	0	0
*	SW1S0       	7	18
SW2COMP     		64	128
*	COMP03_4    	0	64
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	SW2S0       	7	76
SW2DIRT     		64	128
*	WALL00_8    	48	0
*	WALL00_7    	32	0
*	WALL00_6    	16	0
*	WALL00_5    	0	0
*	SW1S1       	8	20
*	W15_5       	0	72
SW2EXIT     		128	128
*	WLITB0      	0	0
SW2GRAY     		128	128
*	WLITC0      	0	0
SW2GRAY1    		128	128
*	STEP07      	0	0
SW2METAL    		64	128
*	SW19_3      	-32	0
*	SW19_4      	32	0
*	SW2_2       	12	80
SW2PIPE     		128	128
*	TP2_2       	0	0
*	SW3S1       	48	76
SW2SLAD     		128	128
*	STEP05      	0	0
SW2STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S0       	39	76
SW2STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S0       	7	78
SW2STON2    		64	128
*	W28_8       	0	64
*	WARNA0      	24	73
*	W28_5       	0	0
SW2STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	SW1S0       	8	67
SW2STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S0       	8	72
TEKWALL1    		128	128
*	W17_1       	0	-27
*	W17_1       	0	16
TEKWALL2    		128	128
*	WALL24_1    	0	0
TEKWALL3    		128	128
*	W94_1       	0	0
TEKWALL4    		128	128
*	W94_1       	0	0
TEKWALL5    		128	128
*	WALL62_2    	0	0
*	WALL62_2    	64	0
REDWALL1    		64	128
*	W15_4       	0	0
;End
